Year,Round,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,college_id,branch_id
2024,5,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,44,44,67d46f0d7ee10606e96d055f,67d46d4be89b5e36d438abea
2024,5,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Female-only (including Supernumerary),41P,41P,67d46f0d7ee10606e96d055f,67d46d4be89b5e36d438abea
2024,5,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,327,618,67d46f0d7ee10606e96d055f,67d46d4be89b5e36d438abea
2024,5,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1050,1409,67d46f0d7ee10606e96d055f,67d46d4be89b5e36d438abea
2024,5,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,447,1577,67d46f0d7ee10606e96d055f,67d46d4be89b5e36d438abea
2024,5,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),1935,3516,67d46f0d7ee10606e96d055f,67d46d4be89b5e36d438abea
2024,5,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,62,62,67d46f0d7ee10606e96d055f,67d46d4be89b5e36d438abea
2024,5,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,136,678,67d46f0d7ee10606e96d055f,67d46d4be89b5e36d438abea
2024,5,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),803,1493,67d46f0d7ee10606e96d055f,67d46d4be89b5e36d438abea
2024,5,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,184,501,67d46f0d7ee10606e96d055f,67d46d4be89b5e36d438abea
